"LOCALITY.ID","group.id","month","timegroups"
"L921959","S89331458",7,"before 2000"
"L921959","S89331459",7,"before 2000"
"L2525578","S39267921",10,"before 2000"
"L4199766","S57883225",11,"before 2000"
"L987622","S22008589",11,"before 2000"
"L3404544","S21999836",11,"before 2000"
"L3140880","S20399281",12,"before 2000"
"L3140850","S20399280",12,"before 2000"
"L7523326","S54539069",12,"before 2000"
"L946706","S48472120",12,"before 2000"
"L11280929","S68337920",12,"before 2000"
"L11280929","S68460556",12,"before 2000"
"L946706","S210880262",12,"before 2000"
"L11280929","S68368024",12,"before 2000"
"L11280957","S68477768",12,"before 2000"
"L11280957","S68530733",12,"before 2000"
"L946706","S210884595",12,"before 2000"
"L11280929","S67996581",12,"before 2000"
"L2503495","S36613161",12,"before 2000"
"L2503495","S36612986",12,"before 2000"
"L2503495","S36610947",12,"before 2000"
"L946706","S320056133",1,"before 2000"
"L11280957","S68903804",1,"before 2000"
"L11280957","S68531375",1,"before 2000"
"L11280957","S68536290",1,"before 2000"
"L946220","S37474707",1,"before 2000"
"L946220","G2634880",1,"before 2000"
"L20710250","S319887774",1,"before 2000"
"L29265159","S319965125",1,"before 2000"
"L3915579","G3221841",1,"before 2000"
"L3027183","S57188158",2,"before 2000"
"L4299289","S28663424",3,"before 2000"
"L3112787","S279844040",3,"before 2000"
"L946220","S104509979",3,"before 2000"
"L11009385","S24300323",5,"before 2000"
"L9448844","S57280529",6,"before 2000"
"L2525578","S36555703",7,"before 2000"
"L5752682","S36555724",7,"before 2000"
"L2514984","S6628482",7,"before 2000"
"L961164","S57705498",7,"before 2000"
"L5088977","S32603102",8,"before 2000"
"L58832866","S302135645",9,"before 2000"
"L9087264","S69807112",10,"before 2000"
"L9087264","S69807998",10,"before 2000"
"L9087264","S69806776",10,"before 2000"
"L9087264","S69807361",10,"before 2000"
"L5752682","G2382462",11,"before 2000"
"L13298088","G6167216",11,"before 2000"
"L946706","S7903186",11,"before 2000"
"L946706","S7898168",11,"before 2000"
"L946706","S50054821",11,"before 2000"
"L946706","S286239735",11,"before 2000"
"L946706","S7898337",11,"before 2000"
"L946706","S7903362",11,"before 2000"
"L946706","S7897840",11,"before 2000"
"L13403195","G6215988",12,"before 2000"
"L13298409","G6167210",12,"before 2000"
"L13288794","G6215992",12,"before 2000"
"L13445108","S80189291",12,"before 2000"
"L13404178","G6215980",12,"before 2000"
"L13404043","G6215982",12,"before 2000"
"L13445269","S80190978",12,"before 2000"
"L13403828","G6215991",12,"before 2000"
"L13403927","G6215985",12,"before 2000"
"L3221873","S57191332",12,"before 2000"
"L3221873","S57191331",12,"before 2000"
"L3221873","S57191329",12,"before 2000"
"L961164","S56572883",12,"before 2000"
"L1407497","S9780960",12,"before 2000"
"L3186129","S20724404",12,"before 2000"
"L12656242","S75808498",1,"before 2000"
"L12656253","S75808551",1,"before 2000"
"L2525578","G2380164",1,"before 2000"
"L2525578","G2384751",1,"before 2000"
"L2525578","G2384758",1,"before 2000"
"L2525578","G2380185",1,"before 2000"
"L2525578","G2633204",1,"before 2000"
"L8896618","S80989166",1,"before 2000"
"L3204730","S80980253",1,"before 2000"
"L2870192","S19003365",1,"before 2000"
"L946706","S57334403",1,"before 2000"
"L946706","S291528728",1,"before 2000"
"L946706","S130233670",1,"before 2000"
"L942602","S129860602",1,"before 2000"
"L6633146","S129871884",1,"before 2000"
"L6869590","S130010261",1,"before 2000"
"L6049052","S130009129",1,"before 2000"
"L6633146","S130009240",1,"before 2000"
"L2503495","S80789435",1,"before 2000"
"L2503495","S80789026",1,"before 2000"
"L3035064","S82530565",1,"before 2000"
"L932559","S80723583",1,"before 2000"
"L932559","S80804407",1,"before 2000"
"L58832866","S302579271",2,"before 2000"
"L946706","S82048747",2,"before 2000"
"L946706","S82179120",2,"before 2000"
"L946706","S82132695",2,"before 2000"
"L946706","S82102410",2,"before 2000"
"L13796636","S82109164",2,"before 2000"
"L10278942","S67614042",2,"before 2000"
"L987622","S82275466",2,"before 2000"
"L987622","S82254405",2,"before 2000"
"L13741884","S81849866",2,"before 2000"
"L2567411","S81642849",2,"before 2000"
"L2567411","S81610238",2,"before 2000"
"L17057010","S98612992",3,"before 2000"
"L2529173","S24658453",3,"before 2000"
"L922057","S24660158",3,"before 2000"
"L946220","S24660017",3,"before 2000"
"L4198302","S302620164",5,"before 2000"
"L1166879","G2380166",6,"before 2000"
"L2525578","S36308307",7,"before 2000"
"L5752682","G2380123",7,"before 2000"
"L7910600","S17425589",8,"before 2000"
"L5752682","S36474001",8,"before 2000"
"L3046520","S43597814",8,"before 2000"
"L8537139","S52266530",10,"before 2000"
"L8537181","S52266952",10,"before 2000"
"L8536894","S52265329",10,"before 2000"
"L8536982","S52265849",10,"before 2000"
"L8537249","S52267581",10,"before 2000"
"L1801551","S52277863",10,"before 2000"
"L1801551","S52278269",10,"before 2000"
"L1801560","S52264723",10,"before 2000"
"L2503495","S23063516",10,"before 2000"
"L2503495","S23063338",10,"before 2000"
"L2503495","S23032032",10,"before 2000"
"L2503495","S23064980",10,"before 2000"
"L2503495","S23031110",10,"before 2000"
"L2503495","S23045567",10,"before 2000"
"L2503495","S23045461",10,"before 2000"
"L2503495","S23042760",10,"before 2000"
"L2503495","S23042772",10,"before 2000"
"L3231340","S43657095",10,"before 2000"
"L976256","S96587766",11,"before 2000"
"L976256","S96587908",11,"before 2000"
"L976256","S96553095",11,"before 2000"
"L976256","S96587231",11,"before 2000"
"L3923181","S38900166",11,"before 2000"
"L3171966","S57190416",11,"before 2000"
"L3171966","S38900170",11,"before 2000"
"L4058786","S57190417",11,"before 2000"
"L2594322","S40976703",11,"before 2000"
"L946706","S96587905",11,"before 2000"
"L946706","S96588020",11,"before 2000"
"L946706","S96587390",11,"before 2000"
"L946706","S96587765",11,"before 2000"
"L2503495","S23286968",11,"before 2000"
"L2503495","S23286770",11,"before 2000"
"L2503495","S23077987",11,"before 2000"
"L2503495","S23088864",11,"before 2000"
"L2503495","S23088753",11,"before 2000"
"L2503495","S23124492",11,"before 2000"
"L2503495","S23096690",11,"before 2000"
"L2503495","S23286866",11,"before 2000"
"L2503495","S24705101",11,"before 2000"
"L2503495","S23072691",11,"before 2000"
"L2503495","S23070432",11,"before 2000"
"L2503495","S26874320",11,"before 2000"
"L987622","S96588022",11,"before 2000"
"L987622","S96587906",11,"before 2000"
"L16706440","S96552851",11,"before 2000"
"L2567411","S96587904",11,"before 2000"
"L2612147","S36534869",12,"before 2000"
"L2514984","S16388769",12,"before 2000"
"L2514984","S16374674",12,"before 2000"
"L2514984","S16388547",12,"before 2000"
"L2520394","S16325659",12,"before 2000"
"L4058787","S38900178",12,"before 2000"
"L4058787","S57190426",12,"before 2000"
"L4058787","S38900181",12,"before 2000"
"L4058787","S57190422",12,"before 2000"
"L4058787","S57190423",12,"before 2000"
"L4058787","S38900180",12,"before 2000"
"L946706","S96587762",12,"before 2000"
"L2503495","S23291657",12,"before 2000"
"L2503495","S23531298",12,"before 2000"
"L2503495","S23762349",12,"before 2000"
"L2503495","S23290409",12,"before 2000"
"L2503495","S23291513",12,"before 2000"
"L2503495","S23756379",12,"before 2000"
"L2503495","S23291252",12,"before 2000"
"L2503495","S23287090",12,"before 2000"
"L2525578","G2389106",1,"before 2000"
"L2525578","G2389108",1,"before 2000"
"L2525578","S39224604",1,"before 2000"
"L2525578","S39224618",1,"before 2000"
"L2525578","S39224573",1,"before 2000"
"L2870192","S19003556",1,"before 2000"
"L946706","S16524069",1,"before 2000"
"L942602","S37850877",1,"before 2000"
"L2503495","S23832094",1,"before 2000"
"L2503495","S23773725",1,"before 2000"
"L2503495","S24023539",1,"before 2000"
"L2503495","S24416949",1,"before 2000"
"L2503495","S23777819",1,"before 2000"
"L2503495","S24194314",1,"before 2000"
"L2503495","S23842199",1,"before 2000"
"L2503495","S24194383",1,"before 2000"
"L2503495","S23831905",1,"before 2000"
"L2503495","S24194265",1,"before 2000"
"L3527559","S38900332",2,"before 2000"
"L3527559","S38900331",2,"before 2000"
"L1016606","S41447898",2,"before 2000"
"L1016606","S41445447",2,"before 2000"
"L1016606","S41442596",2,"before 2000"
"L946706","S37874850",2,"before 2000"
"L946706","S37874409",2,"before 2000"
"L946706","S37868489",2,"before 2000"
"L946706","S41453151",2,"before 2000"
"L946706","S41449763",2,"before 2000"
"L946706","S7766816",2,"before 2000"
"L942602","S13607315",2,"before 2000"
"L946220","S41475881",2,"before 2000"
"L946220","S41459855",2,"before 2000"
"L2503495","S24555657",2,"before 2000"
"L2503495","S24555578",2,"before 2000"
"L2503495","S24471639",2,"before 2000"
