"gridg0","group.id","month","timegroups"
"294658","S22735683",6,"before 2000"
"294658","S22755927",6,"before 2000"
"294658","S21709551",7,"before 2000"
"294658","S22756284",7,"before 2000"
"294658","S22756348",7,"before 2000"
"294658","S23778074",7,"before 2000"
"294658","S27313000",7,"before 2000"
"294008","S22756176",7,"before 2000"
"294658","S38545996",7,"before 2000"
"294658","S21705754",7,"before 2000"
"294658","S22756002",7,"before 2000"
"294658","S21709878",7,"before 2000"
"294658","S38237212",8,"before 2000"
"113917","S32458232",9,"before 2000"
"294658","S21718752",9,"before 2000"
"294658","S27316850",9,"before 2000"
"294658","S38237388",9,"before 2000"
"294658","S21718529",9,"before 2000"
"294658","S38237256",9,"before 2000"
"294658","S21710364",9,"before 2000"
"294658","S22767289",9,"before 2000"
"294658","S22767510",9,"before 2000"
"294658","S22769200",9,"before 2000"
"294658","S22756426",9,"before 2000"
"294008","S24199831",9,"before 2000"
"294658","S21957948",10,"before 2000"
"294658","S21978727",10,"before 2000"
"294008","S26776026",10,"before 2000"
"294658","S21946515",10,"before 2000"
"294658","S21742505",10,"before 2000"
"294658","S22784773",10,"before 2000"
"294658","S22797831",10,"before 2000"
"294658","S22770240",10,"before 2000"
"294658","S22838954",10,"before 2000"
"294658","S22797438",10,"before 2000"
"62584","S53387060",11,"before 2000"
"62584","S53387343",11,"before 2000"
"294658","S22197393",11,"before 2000"
"294658","S22289845",11,"before 2000"
"294658","S22285556",11,"before 2000"
"294658","S22285034",11,"before 2000"
"294658","S22844373",11,"before 2000"
"294658","S22784617",11,"before 2000"
"294658","S22840444",11,"before 2000"
"294658","S24741142",11,"before 2000"
"294658","S24768611",11,"before 2000"
"294658","S22839165",11,"before 2000"
"294658","S22297217",12,"before 2000"
"294658","S22296085",12,"before 2000"
"294658","S22858035",12,"before 2000"
"294658","S24769760",12,"before 2000"
"294658","S22299343",12,"before 2000"
"294658","S22845272",12,"before 2000"
"294658","S22889606",12,"before 2000"
"294658","S22858121",12,"before 2000"
"294658","S24775245",12,"before 2000"
"294658","S24768754",12,"before 2000"
"294658","S26775618",12,"before 2000"
"328493","S90610329",12,"before 2000"
"329788","S90768271",12,"before 2000"
"329788","S90771007",12,"before 2000"
"329788","S90770213",12,"before 2000"
"329788","S90712662",12,"before 2000"
"236672","S89402441",1,"before 2000"
"237329","S89402725",1,"before 2000"
"294658","S93223214",1,"before 2000"
"294658","S93410959",1,"before 2000"
"294658","S91656865",1,"before 2000"
"294658","S24203125",1,"before 2000"
"294658","S22393944",1,"before 2000"
"294658","S22299623",1,"before 2000"
"294658","S22385242",1,"before 2000"
"294658","S22379186",1,"before 2000"
"294658","S91354068",1,"before 2000"
