"","sl","COMMON.NAME","timegroupsf","timegroups","freq","se"
"142",18,"Red Junglefowl","2000-2006",2003,-3.34101035249744,0.0802015029620654
"143",18,"Red Junglefowl","2007-2010",2009,-3.11139852275205,0.100334873572249
"144",18,"Red Junglefowl","2011-2012",2012,-3.53271455758405,0.108185507369598
"145",18,"Red Junglefowl","2013",2013,-3.47243541581,0.0689912854149417
"146",18,"Red Junglefowl","2014",2014,-3.28643843149617,0.069486712478434
"147",18,"Red Junglefowl","2015",2015,-3.43321112149748,0.0896488125223645
"148",18,"Red Junglefowl","2016",2016,-3.1796734382775,0.071851144384199
"149",18,"Red Junglefowl","2017",2017,-3.14444072846927,0.10736631716251
"150",18,"Red Junglefowl","2018",2018,-3.47765639191349,0.0714154306191499
"151",18,"Red Junglefowl","2019",2019,-3.39843230979732,0.0693742754384672
"152",18,"Red Junglefowl","2020",2020,-3.67175239610007,0.0768667043474066
"153",18,"Red Junglefowl","2021",2021,-3.42814173531325,0.0709617401765632
"154",18,"Red Junglefowl","2022",2022,-3.19595961756608,0.0968173841886452
"155",19,"Red Junglefowl","before 2000",1992,-3.36470658519296,0.112622664817868
"156",19,"Red Junglefowl","2000-2006",2003,-3.19057352604969,0.0688517453200853
"157",19,"Red Junglefowl","2007-2010",2009,-3.68432213615213,0.073684206129548
"158",19,"Red Junglefowl","2011-2012",2012,-3.44710358509334,0.0959325580012063
"159",19,"Red Junglefowl","2013",2013,-3.29674190279849,0.0703554144371739
"160",19,"Red Junglefowl","2014",2014,-3.11965505683139,0.104299983726368
"161",19,"Red Junglefowl","2015",2015,-3.14250483148696,0.100938998997896
"162",19,"Red Junglefowl","2016",2016,-3.44041292170898,0.0723633672149131
"163",19,"Red Junglefowl","2017",2017,-3.48840832394025,0.0721247089605462
"164",19,"Red Junglefowl","2018",2018,-3.47887958945758,0.0737070316012607
"165",19,"Red Junglefowl","2019",2019,-3.19794316647751,0.0970835199857032
"166",19,"Red Junglefowl","2020",2020,-3.40688048592988,0.0702198614243547
"167",19,"Red Junglefowl","2021",2021,-3.53200217859738,0.114907640302992
"168",19,"Red Junglefowl","2022",2022,-3.34563709563414,0.0859904826288111
"169",2,"Red Junglefowl","before 2000",1992,-3.45389155723652,0.110711855200979
"170",2,"Red Junglefowl","2000-2006",2003,-3.6829237973906,0.0834667322922369
"171",2,"Red Junglefowl","2007-2010",2009,-3.49529330234909,0.0806705291540641
"172",2,"Red Junglefowl","2011-2012",2012,-3.37076330710337,0.0800283692706484
"173",2,"Red Junglefowl","2013",2013,-3.53009585906696,0.0958297582486061
"174",2,"Red Junglefowl","2014",2014,-3.18514494832988,0.10464097869523
"175",2,"Red Junglefowl","2015",2015,-3.23926212495753,0.0840501293565999
"176",2,"Red Junglefowl","2016",2016,-3.43615022386531,0.0838851364949065
"177",2,"Red Junglefowl","2017",2017,-3.47274151769294,0.0819013003119793
"178",2,"Red Junglefowl","2018",2018,-3.52881421746748,0.112563835485226
"179",2,"Red Junglefowl","2019",2019,-3.32281496823031,0.0820811835661167
"180",2,"Red Junglefowl","2020",2020,-3.52817871900328,0.0817655020506306
"181",2,"Red Junglefowl","2021",2021,-3.21659343917501,0.0993507073244162
"182",2,"Red Junglefowl","2022",2022,-3.07617122214995,0.10329606364489
"183",20,"Red Junglefowl","before 2000",1992,-3.36609288762582,0.104072863750144
"184",20,"Red Junglefowl","2000-2006",2003,-3.43496761094983,0.0743232237945058
"185",20,"Red Junglefowl","2007-2010",2009,-3.40196717357206,0.0742399042525798
"186",20,"Red Junglefowl","2011-2012",2012,-3.13804737309012,0.111717010747774
"187",20,"Red Junglefowl","2013",2013,-3.12511275135193,0.093862543852958
"188",20,"Red Junglefowl","2014",2014,-3.67666441633554,0.0867454916779191
"189",20,"Red Junglefowl","2015",2015,-3.48281101632477,0.0771383694010771
"190",20,"Red Junglefowl","2016",2016,-3.53410142032094,0.110871825590182
"191",20,"Red Junglefowl","2017",2017,-3.4774143732222,0.0795180853202601
"192",20,"Red Junglefowl","2018",2018,-3.2921957369684,0.0769983488429343
"193",20,"Red Junglefowl","2019",2019,-3.35067386576869,0.0830331093710893
"194",20,"Red Junglefowl","2020",2020,-3.20172654519536,0.0940119122500573
"195",20,"Red Junglefowl","2021",2021,-3.44987508771108,0.093286138692802
"196",20,"Red Junglefowl","2022",2022,-3.18409508704031,0.0765778383221113
"197",21,"Red Junglefowl","before 2000",1992,-3.35158922270718,0.113017081235706
"198",21,"Red Junglefowl","2000-2006",2003,-3.5184029177058,0.113651879981216
"199",21,"Red Junglefowl","2007-2010",2009,-3.18203251152908,0.105621488943006
"200",21,"Red Junglefowl","2011-2012",2012,-3.46764971108016,0.0778069164411225
"201",21,"Red Junglefowl","2013",2013,-3.6692894785599,0.0784397335883715
"202",21,"Red Junglefowl","2014",2014,-3.38991936472665,0.0750619510272601
"203",21,"Red Junglefowl","2015",2015,-3.4669082881476,0.0749741247780717
"204",21,"Red Junglefowl","2016",2016,-3.43370006502114,0.0975878213625405
"205",21,"Red Junglefowl","2017",2017,-3.27720829522146,0.0754344701508449
"206",21,"Red Junglefowl","2018",2018,-3.1172894771844,0.0991472499480789
"207",21,"Red Junglefowl","2019",2019,-3.17468146117924,0.0691056898248616
"208",21,"Red Junglefowl","2020",2020,-3.33063807008635,0.0828616688285053
"209",21,"Red Junglefowl","2021",2021,-3.12373349968199,0.108378995554685
"210",21,"Red Junglefowl","2022",2022,-3.42583842673188,0.0717606634580381
"211",22,"Red Junglefowl","before 2000",1992,-3.36366074795912,0.1013599826547
"212",22,"Red Junglefowl","2000-2006",2003,-3.43951977700667,0.0959101648993317
"213",22,"Red Junglefowl","2007-2010",2009,-3.34164083992791,0.0805002058847745
"214",22,"Red Junglefowl","2011-2012",2012,-3.47561702481836,0.0787423800224445
"215",22,"Red Junglefowl","2013",2013,-3.39837563077821,0.076867320848785
"216",22,"Red Junglefowl","2014",2014,-3.18576432746682,0.099675997332957
"217",22,"Red Junglefowl","2015",2015,-3.28221943312273,0.0792055162692757
"218",22,"Red Junglefowl","2016",2016,-3.1449183944976,0.0994540756542821
"219",22,"Red Junglefowl","2017",2017,-3.10872039223426,0.110191490670817
"220",22,"Red Junglefowl","2018",2018,-3.67291420047027,0.0802620104866804
"221",22,"Red Junglefowl","2019",2019,-3.42713707837078,0.0788097930322246
"222",22,"Red Junglefowl","2020",2020,-3.17591216921216,0.0762292598279872
"223",22,"Red Junglefowl","2021",2021,-3.4763708798037,0.0773602556853759
"224",22,"Red Junglefowl","2022",2022,-3.51745303436002,0.118739757139424
"225",23,"Red Junglefowl","before 2000",1992,-3.34534370732198,0.115929160024513
"226",23,"Red Junglefowl","2000-2006",2003,-3.13496001868164,0.111954902012057
"227",23,"Red Junglefowl","2007-2010",2009,-3.18107724202204,0.0717401547176921
"228",23,"Red Junglefowl","2011-2012",2012,-3.2892584350781,0.0701288418218761
"229",23,"Red Junglefowl","2013",2013,-3.1876404721999,0.0997998509454504
"230",23,"Red Junglefowl","2014",2014,-3.34502747575284,0.0830232118335626
"231",23,"Red Junglefowl","2015",2015,-3.11303467606069,0.0980614721919746
"232",23,"Red Junglefowl","2016",2016,-3.48167773457931,0.0705657162704227
"233",23,"Red Junglefowl","2017",2017,-3.67192182239244,0.0824489817237306
"234",23,"Red Junglefowl","2018",2018,-3.3994923766407,0.0685815672739748
"235",23,"Red Junglefowl","2019",2019,-3.52879017982279,0.0983910251579465
"236",23,"Red Junglefowl","2020",2020,-3.42637807071769,0.0728554299690554
"237",23,"Red Junglefowl","2021",2021,-3.47625807657697,0.0723120241656829
"238",23,"Red Junglefowl","2022",2022,-3.44328106354864,0.0958256796520862
"239",24,"Red Junglefowl","before 2000",1992,-3.35953552547823,0.112362699925307
"240",24,"Red Junglefowl","2000-2006",2003,-3.47832468510413,0.0783859678895519
"241",24,"Red Junglefowl","2007-2010",2009,-3.42830582133628,0.0802682212951126
"242",24,"Red Junglefowl","2011-2012",2012,-3.11572664709533,0.0978332414069174
"243",24,"Red Junglefowl","2013",2013,-3.33702694470053,0.094432286841664
"244",24,"Red Junglefowl","2014",2014,-3.18116305109861,0.0745912117958504
"245",24,"Red Junglefowl","2015",2015,-3.67628294140973,0.0808011788060538
"246",24,"Red Junglefowl","2016",2016,-3.473061859196,0.0750384450999387
"247",24,"Red Junglefowl","2017",2017,-3.39621797331319,0.0778754004766683
"248",24,"Red Junglefowl","2018",2018,-3.19290490259108,0.0964215014742865
"249",24,"Red Junglefowl","2019",2019,-3.44318286900375,0.0970227564705157
"250",24,"Red Junglefowl","2020",2020,-3.5228215818936,0.107838034025672
"251",24,"Red Junglefowl","2021",2021,-3.28748266070073,0.0704136978216549
"252",24,"Red Junglefowl","2022",2022,-3.13553085494046,0.101810741656944
"253",25,"Red Junglefowl","before 2000",1992,-3.35879737796394,0.115238600623966
"254",25,"Red Junglefowl","2000-2006",2003,-3.46961237183956,0.0754572706734212
"255",25,"Red Junglefowl","2007-2010",2009,-3.51366333682005,0.114715378024957
"256",25,"Red Junglefowl","2011-2012",2012,-3.67731428483937,0.0759584346041146
